5857500,27,5857300,9,5857800,45,5857000,50,5858000,4,5856900,20,5858200,5,5856500,5,5858300,7,5856400,20,5859300,100,5856000,3,5859400,200,5853000,150,5859800,200,5851000,5,5861000,200,5850100,89,5868900,300,5850000,100
5857500,20,5857300,9,5857800,45,5857000,50,5858000,4,5856900,20,5858200,5,5856500,5,5858300,7,5856400,20,5859300,100,5856000,3,5859400,200,5853000,150,5859800,200,5851000,5,5861000,200,5850100,89,5868900,300,5850000,100
5857800,45,5857300,9,5858000,4,5857000,50,5858200,5,5856900,20,5858300,7,5856500,5,5859300,100,5856400,20,5859400,200,5856000,3,5859800,200,5853000,150,5861000,200,5851000,5,5868900,300,5850100,89,5869500,50,5850000,100
5857800,20,5857300,9,5858000,4,5857000,50,5858200,5,5856900,20,5858300,7,5856500,5,5859300,100,5856400,20,5859400,200,5856000,3,5859800,200,5853000,150,5861000,200,5851000,5,5868900,300,5850100,89,5869500,50,5850000,100
5858000,4,5857300,9,5858200,5,5857000,50,5858300,7,5856900,20,5859300,100,5856500,5,5859400,200,5856400,20,5859800,200,5856000,3,5861000,200,5853000,150,5868900,300,5851000,5,5869500,50,5850100,89,5870000,100,5850000,100
5858000,4,5857300,9,5858200,5,5857000,50,5858300,7,5856900,20,5859300,100,5856500,5,5859400,200,5856400,20,5859800,200,5856000,3,5861000,200,5853000,150,5868900,300,5851000,5,5869500,50,5850100,89,5870000,100,5850000,100
5858200,5,5857300,9,5858300,7,5857000,50,5859300,100,5856900,20,5859400,200,5856500,5,5859800,200,5856400,20,5861000,200,5856000,3,5868900,300,5853000,150,5869500,50,5851000,5,5870000,100,5850100,89,5871000,10,5850000,100
5858300,7,5857300,9,5859300,100,5857000,50,5859400,200,5856900,20,5859800,200,5856500,5,5861000,200,5856400,20,5868900,300,5856000,3,5869500,50,5853000,150,5870000,100,5851000,5,5871000,10,5850100,89,5873000,200,5850000,100
5859300,100,5857300,9,5859400,200,5857000,50,5859800,200,5856900,20,5861000,200,5856500,5,5868900,300,5856400,20,5869500,50,5856000,3,5870000,100,5853000,150,5871000,10,5851000,5,5873000,200,5850100,89,5873900,100,5850000,100
5859300,100,5857300,9,5859400,200,5857000,50,5859800,200,5856900,20,5861000,200,5856500,5,5868900,300,5856400,20,5869500,50,5856000,3,5870000,100,5853000,150,5871000,10,5851000,5,5873000,200,5850100,89,5873900,100,5850000,100
